"sst","chla","bass"
15.4903897087566,0.569195804203103,10.0944173432185
16.1472561402937,1.06648990760665,10.5375953365121
15.4058815737179,0.874494219736714,10.4487634298047
16.8946107559926,1.3372049909182,10.499503139064
18.2378413430356,1.1715253250805,11.0153712300209
17.3527266270628,1.40911466114343,10.547446346796
18.8204321626124,1193.97432008281,11.3926840274008
18.0981305044358,1.44376601331355,11.1406538829112
18.4317425671585,1.5383917968785,11.2879728868005
17.6395525957938,1.88291041300293,11.1178149825963
20.7818812595264,1.79174573545594,11.3761420343813
21.0214660005326,1.66291325697538,11.2364176495004
