"site","CPUE"
"P.Abreojos",116.500542135777
"P.Abreojos",122.085309669385
"P.Abreojos",127.48228897146
"P.Abreojos",127.558948769552
"P.Abreojos",123.98404781993
"P.Abreojos",135.281741244671
"P.Abreojos",127.884209259197
"P.Abreojos",126.051854735378
"P.Abreojos",121.737404283288
"P.Abreojos",132.533930334569
"P.Abreojos",115.4378850217
"P.Abreojos",154.127217119479
"P.Abreojos",121.146575472602
"P.Abreojos",135.572382643055
"P.Abreojos",129.547190742845
"P.Abreojos",135.684510407471
"P.Abreojos",116.631105747625
"P.Abreojos",121.142248417235
"P.Abreojos",117.760996643537
"P.Abreojos",129.174989633162
"P.Abreojos",112.510901697332
"P.Abreojos",129.368567158876
"P.Abreojos",125.310292508456
"P.Abreojos",147.492162710467
"P.Abreojos",124.748499905356
"P.Abreojos",125.069333302741
"P.Abreojos",118.123483399297
"P.Abreojos",123.742124485894
"P.Abreojos",128.598547449266
"P.Abreojos",131.411534680851
"P.Abreojos",139.188483170677
"P.Abreojos",138.046079454217
"P.Abreojos",125.184104384591
"P.Abreojos",143.242097108829
"P.Abreojos",105.082347658594
"P.Abreojos",133.878063938022
"P.Abreojos",120.136255030806
"P.Abreojos",142.270426714346
"P.Abreojos",122.042371323994
"P.Abreojos",142.232444156956
"P.Abreojos",126.929004057862
"P.Abreojos",103.859784662056
"P.Abreojos",121.038909061894
"P.Abreojos",105.540479879635
"P.Abreojos",128.550033429656
"P.Abreojos",149.173243647885
"P.Abreojos",99.1405494138986
"Bocana",143.530523132424
"Bocana",107.841176807018
"Bocana",156.196647395558
"Bocana",149.543042000337
"Bocana",116.240782925889
"Bocana",124.893624433694
"Bocana",127.790900631149
"Bocana",123.140307703453
"Bocana",167.552944967269
"Bocana",130.771073111588
"Bocana",118.128186348159
"Bocana",138.393474695197
"Bocana",131.848934925643
"Bocana",127.774806827801
"Bocana",127.436212920363
"Bocana",135.557110148075
"Bocana",112.858225991094
"Bocana",111.387271219271
"Bocana",153.551387251971
"Bocana",97.8921207613057
"Bocana",129.014806865879
"Bocana",112.510635811748
"Bocana",132.881653449469
"Bocana",143.950339150495
"Bocana",97.7074897375577
"Bocana",142.275895128189
