size,temp,chla
511.8458945,34.99405174,92.71780889
397.1929904,30.56206488,84.59557595
487.8752737,22.67427472,93.06905386
452.5053897,26.7159703,101.1884943
447.7085139,21.92830026,86.35290542
548.2886854,21.61876553,105.8998268
427.3225725,20.05698581,102.8934403
487.311892,21.02691366,90.95784974
486.3399661,32.25453734,102.2632494
520.830494,23.72985937,107.4808116
531.3243623,24.59622618,110.6109525
450.781561,25.21843715,97.87151721
505.1468099,30.16237939,99.06363206
404.2689309,21.41968085,99.13285865
512.9640194,19.03746425,114.4146176
588.4278713,32.37848466,111.2507189
395.052382,21.79418392,108.3440157
380.2640691,20.38467015,97.126592
415.2886827,17.81863441,103.7324143
394.4063927,17.57642139,104.0329033
447.702618,21.1301326,89.58326706
367.4911892,27.08992909,82.71695485
411.0935689,29.54924069,106.4183003
394.5629658,27.53794177,84.70689469
452.0807255,22.18171351,100.0168369
530.7454356,24.29874969,102.5024782
433.7981419,20.47701768,105.6386739
531.8832399,20.41390919,101.8942624
480.873741,28.42325249,92.67146194
519.3383536,18.92203711,109.8636586
533.2484766,33.77646983,117.3863377
608.5757524,23.54840203,108.8117881
394.2585047,25.07269413,80.56349099
430.6602526,20.30736148,113.9957619
455.9491082,21.12805655,99.43944054
381.5191257,17.41491934,105.2491428
483.6119428,23.08537306,106.2203324
458.305943,26.09491202,99.03313927
512.9455218,25.62152172,99.24736802
556.5180448,20.09231756,110.1915707
457.3294991,20.05689015,107.1160192
549.3829525,21.48900641,109.9026225
665.9741333,31.48030335,123.829267
447.30988,18.3134819,106.6441586
449.9892541,23.10474203,102.0738116
449.6490211,33.51180911,77.89366889
592.3063353,23.49512557,126.91714
464.7340646,17.20079648,95.17323178
632.2520618,20.67615282,123.7473472
518.6217984,26.42729989,103.7464357
585.4882284,22.12198564,115.384302
495.3287148,21.19061818,98.90289679
513.9810912,22.28041383,105.1147075
506.2199908,24.45248324,102.1395798
558.0989688,31.99254386,98.13879301
420.7427766,23.55717444,98.79606175
478.4662294,29.40399748,110.1283434
508.000286,27.15377058,97.98541853
387.8036186,23.43180052,79.62317506
449.8711606,16.33548999,98.04110751
527.8387333,21.39441341,105.3979061
531.9749242,21.55064773,106.1645572
489.236504,24.23577216,106.1656782
413.1917259,30.50099339,83.07898479
529.8257974,35.46539487,103.6874206
592.0789737,31.73790529,109.6785921
547.3669071,23.33424518,112.7657868
513.3040138,15.21736302,97.75038729
457.9107551,22.05610068,96.78107414
594.1350019,24.44603612,114.8783783
467.1081888,28.22506502,83.32071954
504.5688935,28.81263984,95.63170023
526.29816,27.42154715,104.5746208
377.3658143,17.02362825,83.82226235
495.4778847,28.24821523,102.7962786
556.8859774,21.76721392,118.7786402
481.9040589,24.8740135,99.95939347
514.1413301,24.37275589,97.21545975
496.9531139,26.14083382,104.7491171
462.6883918,24.12337491,97.20927829
460.3079341,15.66262451,108.1340037
517.3080416,27.68247982,109.0443546
479.4597829,25.93013284,100.0269166
310.2607506,22.67174187,88.23307842
357.8017537,24.59072256,86.81779273
451.6663396,24.67019323,94.07002634
498.9463233,25.10509734,107.973805
363.2410191,32.20423083,80.41794825
298.6843292,22.90474811,81.13674841
435.6513268,24.84032692,93.46220175
542.9763403,29.84191937,103.9439485
544.932005,29.27090512,90.86433952
527.7260685,29.72631555,108.8674904
556.3320208,21.11265999,103.3336997
504.3627641,34.01241365,98.29360382
516.5302437,24.33350435,108.1882814
536.7786499,33.33425922,103.8836516
395.3701964,17.24548657,95.54064973
483.9734405,24.10491793,102.3111493
567.0716378,30.24957285,106.4751336
443.0364116,20.42378906,103.5628334
423.3089537,20.23655516,93.41989792
439.7414701,19.30730648,108.5520221
525.0473597,18.7374336,111.5293623
502.7335784,21.81420233,102.7627456
520.1492417,25.65589586,101.4410466
382.7713377,13.92894751,99.24374919
571.9980921,25.05990217,121.6141585
459.3998624,30.18337523,102.7631553
501.2126167,34.18787009,98.41705971
463.3321238,30.50587996,74.92082198
400.5640865,27.78387382,84.34718235
483.826282,15.366348,99.22326799
438.745732,20.99246646,102.0629404
458.867791,22.23976772,102.7687246
542.3492173,27.51761951,108.2150678
433.6932201,23.47164333,98.05847591
421.5555806,17.70675686,112.1458879
528.6643157,32.42217854,90.78483957
460.3510225,28.55695646,87.9155728
402.220035,25.18715136,87.71013822
425.2595708,30.09054305,107.4229702
548.7120766,17.30612856,99.17080058
688.0235624,27.30410149,107.8981792
468.8220779,21.38543812,97.32293578
506.0708311,27.41872761,94.08107898
522.5815833,23.69589023,96.31647425
377.299516,27.16480357,81.47383176
432.6883423,30.67758808,88.3038474
333.0719137,24.03645045,85.57965354
497.6073588,29.08779318,110.5432227
466.400775,18.05782982,94.02669909
483.218528,20.3919778,107.8945985
549.737313,31.59608856,115.164906
469.3618497,25.88693987,98.08225191
364.3884648,13.7388859,102.8387891
428.3782342,17.17981274,82.48932481
369.0668492,22.99609492,91.81330222
481.8067769,28.32889702,100.5621485
465.5070542,23.49058372,102.990869
445.0571965,27.12093736,92.40601883
671.7777379,28.79502689,126.84859
454.627221,32.35527414,95.41609861
441.2551135,24.28008367,100.6424356
426.2292463,23.74009047,106.4979187
409.3757901,15.2338132,99.73981365
394.4379831,24.49663797,93.56432613
530.6317855,21.14074971,110.4530566
483.8614569,19.12995209,116.1554532
488.3157494,23.10046884,99.70306029
507.393467,29.07471586,105.6226735
371.5341637,14.03625756,99.02587501
471.7186301,21.86360356,110.1645522
476.7584862,24.58318642,88.43832606
601.5900997,19.53396215,123.2086022
558.1459579,25.66951471,93.96468752
424.6384568,26.0571496,85.41150586
387.6764038,23.8348192,96.49082173
407.4590151,11.67050903,101.4670848
600.9411457,36.85729073,116.2362121
605.375715,22.97350371,109.1120968
497.9666927,27.25596641,101.4245843
482.5464977,25.36883246,86.10516476
496.132654,29.12336617,91.33962255
424.3289133,28.08829723,98.36715068
567.4185144,22.95103414,125.5302611
473.5264904,25.89083886,81.39772426
551.8658591,19.27295584,111.3105465
491.954282,28.28461505,94.72765743
560.5797732,21.69480831,116.659909
443.1133097,36.08386677,88.6079936
392.0099303,15.74475552,101.4362323
490.8294432,21.68006379,89.00449058
454.5103804,28.12689931,109.0351643
497.0583718,26.55066273,114.8377949
577.6348743,21.05259481,119.5072101
430.8425877,19.01609629,107.9760066
525.3042651,24.72237852,118.4326625
467.5023698,23.92846293,112.4642391
475.9039629,15.04859381,98.68125088
518.9154064,24.17275534,104.7703724
462.0679209,24.95115158,90.28005789
494.3360478,24.87363198,98.14797831
537.87558,18.72491479,112.2096371
537.7611895,26.38066639,105.4128414
417.5397675,30.89285068,104.5735733
434.8774864,26.28118202,89.6186896
441.4088344,18.32205765,93.9548677
476.1148875,21.82177265,92.35393986
438.6290853,25.7305181,103.9529587
402.6940008,20.76477184,90.0949237
413.434811,13.21176832,105.6204139
498.4691165,28.4212541,88.83583588
601.6526833,19.85261194,118.2853046
526.2040862,21.13219865,104.6059135
410.3981955,31.51950305,92.98996388
497.6272692,20.12927535,102.4104593
533.1103045,28.2286577,96.47546801
481.3327242,17.69658561,103.7114796
453.1177061,22.22728798,102.4353272
381.0261808,23.6322199,89.85885827
394.5525337,18.15674288,92.08686121
515.2049412,20.82625868,102.9959368
520.546398,23.85579224,116.3905191
541.8258669,27.35347984,110.8461701
492.0063927,15.74726728,93.75432526
533.7073495,22.2512288,108.259229
554.6370015,27.78203219,99.51431647
395.8914185,21.3059542,103.0131365
476.7900245,25.13645961,102.6036149
590.6548201,26.46114285,125.7544976
462.5354374,25.33917508,88.14711189
432.3753285,27.2662884,101.0091986
444.2695213,23.3864567,82.20022712
509.757793,21.93161743,105.8983592
494.4074053,10.78425524,110.9660847
558.8566139,23.53529491,114.4566224
400.6305384,26.15142348,80.74854748
547.8190674,26.6769942,104.127695
564.8171115,21.22360824,115.9336995
479.6214404,32.89751455,95.85984137
524.829196,25.4321221,97.87849468
492.0611832,24.63157929,99.63462778
544.1223217,30.3613339,103.6501875
463.1205196,20.40766889,106.6515988
601.9793478,21.74830688,113.1782088
508.9428364,35.9872624,99.0451241
527.4101981,24.05564594,101.9627805
596.0176151,32.16784211,124.8799788
458.6848621,16.80746678,104.3109893
520.9142846,23.04741599,101.8875311
349.7558013,25.89211952,86.57756875
505.5331275,25.50019273,100.0285605
472.7407286,18.9718187,97.78673847
342.0805875,24.09629637,99.8895417
456.240851,18.61289673,94.24582359
